Bill,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended ,To Gov,Returned,Passed,Disposition
SB1184,1,S-T,0,0,,,,,,,,0,DiC
SB1208,1,S-CL,0,1,,,,,,,,0,Inc
SB1258,1,S-CL,1,0,1,H-CL,1,1,0,1,1,1,PiL
SB1349,1,S-ACNR; S-F,1,0,0,,,,,,,0,DiS
SB1359,1,S-EH,1,0,1,H-E,1,1,1,1,0,1,PiL
SB1392,1,S-F,0,0,,,,,,,,0,DiC
SB1393,1,S-CL,1,0,1,H-CL,1,1,1,1,0,1,PiL
SB1395,1,S-ACNR,1,0,1,H-CL,1,1,0,1,0,1,PiL
SB1398,1,S-ACNR,1,0,1,H-ACNR,1,1,1,1,1,1,PiL
SB1399,1,S-ACNR,0,0,,,,,,,,0,DiC
SB1471,1,S-ACNR,0,0,,,,,,,,0,DiC
SB1496,1,S-ACNR,0,1,,,,,,,,0,Inc
HB1389,-1,H-GL,0,0,,,,,,,,0,DiC
HB1438,-1,H-CL,0,0,,,,,,,,0,DiC
HB1573,-1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB1575,-1,H-ACNR,0,0,,,,,,,,0,DiC
HB1678,-1,H-GL,1,0,1,S-GLT,0,,,,,0,DiC
HB1679,-1,H-ACNR,1,0,1,S-ACNR,0,,,,,0,DiC
HB1766,-1,H-CL,1,0,1,S-CL,1,1,1,1,0,1,PiL
HB1917,-1,H-F,0,0,,,,,,,,0,DiC
HB1974,-1,H-CL; H-A,1,0,1,S-ACNR; S-F,1,1,1,0,,0,DiH
HB2008,-1,H-ACNR,0,0,,,,,,,,0,DiC
HB2198,-1,H-F,1,0,1,S-F,1,1,0,1,0,0,V
HB2291,-1,H-CL,1,0,1,S-CL,1,1,1,1,0,1,PiL
HB2303,-1,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL
HB2390,-1,H-CL,1,0,1,S-CL,1,1,0,1,1,1,PiL
SB1110,-1,S-CL,1,0,1,H-CL,1,0,,,,0,DiC
SB1291,-1,S-ACNR; S-GLT; S-F,0,0,,,,,,,,0,DiC
SB1292,-1,S-GLT; S-F,0,0,,,,,,,,0,DiC
SB1394,-1,S-CL,1,0,1,H-CL,1,1,0,1,0,1,PiL
SB1470,-1,S-F,1,0,1,H-F,1,1,0,1,0,0,V
HB618,0,H-CL,0,0,,,,,,,,0,DiC
HB1509,0,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB1574,0,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB1600,0,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB1671,0,H-CL,1,0,1,S-CL,1,1,0,1,1,1,PiL
HB1760,0,H-CL,1,0,1,S-CL,1,1,1,1,1,1,PiL
HB2124,0,H-CL; H-CJ,0,0,,,,,,,,0,DiC
HB2169,0,H-F,1,0,1,S-F,1,1,0,1,0,1,PiL
HB2200,0,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB2320,0,H-ACNR,0,0,,,,,,,,0,DiC
HB2349,0,H-ACNR,0,0,,,,,,,,0,DiC
HB2384,0,H-HWI,0,0,,,,,,,,0,DiC
SB875,0,S-F,1,0,1,H-F,1,1,0,1,0,1,PiL
SB886,0,S-F,1,0,1,H-F,1,1,0,1,0,1,PiL
SB1197,0,S-CL,0,0,,,,,,,,0,DiC
SB1226,0,S-GLT,1,0,1,H-GL,1,1,1,1,0,1,PiL
SB1289,0,S-CL,1,0,1,H-CL,1,1,0,1,1,1,PiL
SB1383,0,S-ACNR,0,0,,,,,,,,0,DiC
SB1388,0,S-CL,0,0,,,,,,,,0,DiC
SB1418,0,S-CL,1,0,1,H-CL,1,1,1,1,1,1,PiL
SB1423,0,S-Cl,0,0,,,,,,,,0,DiC
