Bill,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,Sponsor
HB973,1,H-CL,0,0,,,,,,,,0,DiC,Lopez
HB976,1,H-ACNR,0,0,,,,,,,,0,DiC,Lopez
HB1050,1,H-F,0,0,,,,,,,,0,DiC,Rasoul 
HB1053,-1,H-CL,1,0,1,S-CL,1,1,1,1,0,1,PiL,Kilgore
HB1118,-1,H-CL,0,0,,,,,,,,0,DiC,Yost
HB1137,1,H-CL,0,0,,,,,,,,0,DiC,Toscano
HB1152,1,H-F,1,0,1,S-F,1,1,0,1,0,1,PiL,Morefield
HB1174,1,H-CL,1,0,1,S-CL,0,,,,,0,DiC,Sullivan Jr.
HB1220,0,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL,Yancey
HB1250,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,1,1,PiL,Wilt
HB1261,0,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL,Habeeb
HB1285,-1,H-CL,0,0,,,,,,,,0,DiC,Minchew
HB1286,1,H-CL,0,0,,,,,,,,0,DiC,Minchew
HB1305,1,H-F,1,0,1,S-F,1,1,1,1,0,1,PiL,Miller
HB1340,1,H-ACNR;H-A,0,0,,,,,,,,0,DiC,Hodges 
HB1358,0,H-ACNR,0,0,,,,,,,,0,DiC,Fariss
HB1378,-1,H-CL,0,0,,,,,,,,0,DiC,LeMunyon
HB1389,-1,H-GL,0,0,,,,,,,,0,DiC,Robinson
SB21,1,S-ACNR;S-F,1,0,1,H-CL,1,1,0,1,1,0,V,Chafin
SJ47,0,S-PE,0,0,,,,,,,,0,DiC,Petersen
SB80,1,S-LG,0,0,,,,,,,,0,DiC,Wexton
SB136,0,S-CL,1,0,1,H-CL,1,1,0,1,0,1,PiL,Favola
SB139,1,S-CL,0,0,,,,,,,,0,DiC,Edwards
SB140,-1,S-CL,0,0,,,,,,,,0,DiC,Edwards
SB142,1,S-F,0,0,,,,,,,,0,DiC,Edwards
SB148,1,S-CL,0,1,,,,,,,,0,Inc,Edwards
SB182,1,S-F,1,0,1,H-F,1,1,0,1,0,1,PiL,Chafin
SB244,1,S-F,0,0,,,,,,,,0,DiC,Petersen
SB314,1,S-ACNR,1,0,1,H-ACNR,1,1,1,1,0,1,PiL,Dance
SB361,0,S-LG,1,0,1,H-CCT,1,1,1,1,0,1,PiL,Favola
SB395,0,S-CL,1,0,1,H-CL,1,1,0,1,0,1,PiL,Alexander
SB403,1,S-CL,0,0,,,,,,,,0,DiC,Ebbin
SB464,-1,S-T,1,0,1,H-T,1,1,0,1,0,1,PiL,Carrico Sr
SB475,1,S-ACNR,0,0,,,,,,,,0,DiC,Wagner
SB482,1,S-ACNR,0,1,,,,,,,,0,Inc,Obenshain
SB486,-1,S-F,0,0,,,,,,,,0,DiC,Hanger Jr.
SB537,1,S-ACNR,0,0,,,,,,,,0,DiC,Surovell
SB563,-1,S-F,1,0,1,H-F,1,1,0,1,0,1,PiL,Norment
SB571,1,S-ACNR,0,0,,,,,,,,0,DiC,McEachin
SB614,0,S-CL,0,0,,,,,,,,0,DiC,Edwards
SB647,1,S-CL,0,0,,,,,,,,0,DiC,Favola
SB673,1,S-ACNR,1,0,1,H-ACNR,1,1,0,1,0,1,PiL,Hanger Jr.
SB706,1,S-GLT,0,0,,,,,,,,0,DiC,Chafin
SB726,0,S-ACNR,0,0,,,,,,,,0,DiC,Edwards
SB742,-1,S-F,1,0,1,H-F,0,,,,,0,DiC,Wagner
SB743,0,S-ACNR;S-F,1,0,1,H-ACNR,1,1,1,1,0,1,PiL,Wagner
SB745,1,S-CL,1,0,1,H-CL,1,1,0,1,0,1,PiL,Wagner
SB748,-1,S-CL,1,0,1,H-CL,1,1,1,1,1,1,PiL,Wagner
SB761,1,S-CL,0,0,,,,,,,,0,DiC,McEachin
SB779,1,S-CL,0,0,,,,,,,,0,DiC,Stuart
