Bill,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition
HB1965 ,1,H-ACNR,1,0,1,S-CL,1,1,1,1,0,1,PiL
HB1978 ,1,H-A,1,0,1,S-R,0,,,,,0,DiC
HB1979 ,1,H-F; H-A,1,0,1,S-FA,1,1,1,1,0,1,PiL
HB1984,1,H-LC,1,0,1,S-CL,0,,,,,0,DiC
HB2001 ,1,H-GL; H-A,1,0,1,S-GLT; S-FA,1,1,1,1,0,1,PiL
HB2030 ,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL
HB2034 ,1,H-LC,1,0,1,S-CL,1,1,0,1,0,1,PiL
HB2042 ,1,H-CCT,1,0,1,S-LG,1,1,1,1,0,1,PiL
HB2048 ,1,H-LC,1,0,1,S-CL,0,,,,,0,DiC
HB2049,1,H-LC,1,0,1,S-CL,0,,,,,0,DiC
HB2054,1,H-CCT,1,0,1,S-LG,1,1,0,1,0,1,PiL
HB2068 ,1,H-ACNR; H-A,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB2074 ,1,H-ACNR; H-A,1,0,1,S-GLT; S-FA,1,1,1,0,,0,DiH
HB2118 ,1,H-F,1,0,1,S-FA,1,1,1,1,0,1,PiL
HB2125,1,H-PE,1,0,1,S-PE,1,1,0,1,0,1,PiL
HB2159,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB2160 ,1,H-LC,1,0,1,S-CL,0,,,,,0,DiC
HB2200 ,1,H-LC,1,0,1,S-CL,0,,,,,0,DiC
HB2208,1,H-R,1,0,1,S-R,1,1,0,1,0,1,PiL
HB2213 ,1,H-R; H-A,1,0,1,S-R,1,1,1,1,0,1,PiL
HB2227 ,1,H-GL,1,0,1,S-GLT; S-FA,1,1,0,1,0,1,PiL
HB2262,1,H-T,1,0,1,S-T,1,1,1,1,0,1,PiL
HB2282 ,1,H-LC,1,0,1,S-CL,1,1,0,1,0,1,PiL
HB2292 ,1,H-LC,0,0,,,,,,,,0,DiC
HB2330 ,1,H-LC; H-A,1,0,1,S-CL; S-FA,1,1,1,1,0,1,PiL
SJ270,1,S-PE,1,0,1,H-PE,1,1,0,,,1,JRP
SJ272,1,S-PE,1,0,1,H-PE,1,1,1,,,1,JRP
SJ288 ,1,S-R,1,0,1,H-R,1,1,0,,,1,JRP
SJ314 ,1,No Data,1,0,1,No Data,,1,,,,1,JRP
SB1097,1,S-PE,1,0,1,H-PE,1,1,1,1,0,1,PiL
SB1101 ,1,S-PE,0,0,,,,,,,,0,DiC
SB1186 ,1,S-ACNR,0,0,,,,,,,,0,DiC
SB1200 ,1,S-ACNR,0,0,,,,,,,,0,DiC
SB1223 ,1,S-CL,1,0,1,H-LC,1,1,0,1,0,1,PiL
SB1224 ,1,S-GLT,0,0,,,,,,,,0,DiC
SB1236 ,1,S-PE,0,0,,,,,,,,0,DiC
SB1246 ,1,S-PE,1,0,1,H-PE,0,,,,,0,DiC
SB1263 ,1,S-T,1,0,0,,,,,,,0,DiS
SB1265 ,1,S-ACNR,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB1274 ,1,S-ACNR,1,0,1,H-ACNR,1,1,1,1,0,1,PiL
SB1282 ,1,S-FA,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB1284 ,1,S-CL; S-FA,1,0,1,H-LC,1,1,0,1,0,1,PiL
SB1309 ,1,S-LG,1,0,1,H-CCT,1,1,0,1,0,1,PiL
SB1311 ,1,S-ACNR,1,0,1,H-ACNR,1,1,1,1,0,1,PiL
SB1318 ,1,S-GLT,1,0,1,H-GL,1,1,1,0,,0,DiS
SB1319 ,1,S-ACNR,1,0,1,H-ACNR; H-A,1,1,1,1,0,1,PiL
SB1374 ,1,S-ACNR,1,0,1,H-ACNR,1,1,1,1,0,1,PiL
SB1395 ,1,S-PE; S-FA,1,0,1,H-PE,1,1,0,1,1,1,PiL
HB2173 ,-1,H-ACNR,0,0,,,,,,,,0,DiC
HB2205 ,-1,H-PE,0,0,,,,,,,,0,DiC
HB2265 ,-1,H-LC,0,0,,,,,,,,0,DiC
HB2281 ,-1,H-LC,0,0,,,,,,,,0,DiC
SB1164 ,-1,S-ACNR,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB1380 ,-1,S-CL; S-FA,1,0,1,H-LC,1,1,1,0,,0,DiH
SB1463 ,-1,S-GLT,0,0,,,,,,,,0,DiC
SB1295 ,0,S-CL,1,0,1,H-LC,1,1,0,1,0,1,PiL
