Bill,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition
HB1528,1,H-CL,0,0,,,,,,,,0,DiC
HB1573,1,H-CL,0,0,,,,,,,,0,DiC
HB1590,1,H-CL,0,0,,,,,,,,0,DiC
SJ4,1,S-R,0,0,,,,,,,,0,DiC
SJ19,1,S-R,1,0,1,H-R,1,1,0,,,1,JRP
SB9,1,S-CL,0,0,,,,,,,,0,DiC
SB82,1,S-CL,0,0,,,,,,,,0,DiC
SB83,1,S-CL,0,0,,,,,,,,0,DiC
SB139,1,S-F,0,0,,,,,,,,0,DiC
SB191,1,S-CL,1,0,1,H-CL,0,,,,,0,DiC
SB193,1,S-LG,0,0,,,,,,,,0,DiC
SB265,1,S-GLT; S-ACNR; S-F,1,0,1,H-A,1,1,1,1,0,1,PiL
SB278,1,S-CJ,1,0,1,H-CJ,1,1,1,1,1,1,PiL
SB311,1,S-CL,0,0,,,,,,,,0,DiC
SB313,1,S-CL,0,0,,,,,,,,0,DiC
SB324,1,S-CL,0,0,,,,,,,,0,DiC
SB429,1,S-GLT; S-LG,1,0,1,H-CCT,1,1,0,1,0,1,PiL
SB587,1,S-CJ,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB646,1,S-CL,0,0,,,,,,,,0,DiC
SB696,1,S-ACNR,0,0,,,,,,,,0,DiC
SB697,1,S-CL,0,0,,,,,,,,0,DiC
SB698,1,S-ACNR,1,0,1,H-ACNR,1,1,1,1,1,1,PiL
SB699,1,S-ACNR,1,0,1,H-ACNR,1,1,1,1,1,1,PiL
SB708,1,S-ACNR; S-CL,0,1,,,,,,,,0,Inc
SB711,1,S-CL,0,0,,,,,,,,0,DiC
SB750,1,S-LG,1,0,1,H-CCT,1,1,0,1,0,1,PiL
SB765,1,S-ACNR; S-CL,0,0,,,,,,,,0,DiC
SB766,1,S-ACNR; S-CL,0,0,,,,,,,,0,DiC
SB767,1,S-ACNR; S-CL,0,0,,,,,,,,0,DiC
SB768,1,S-CL,0,0,,,,,,,,0,DiC
SB807,1,S-CL,1,0,1,H-CL,1,1,1,1,0,1,PiL
SB809,1,S-CJ; S-F,1,0,1,H-CJ,1,1,0,1,0,1,PiL
SB837,1,S-CL,0,0,,,,,,,,0,DiC
SB855,1,S-CL,0,1,,,,,,,,0,Inc
SB894,1,S-F,1,0,1,H-CL,1,0,,,,0,DiH
SB908,1,S-CL,1,0,1,H-GL,1,1,1,1,0,1,PiL
SB950,1,S-ACNR; S-F,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB951,1,S-ACNR; S-F,0,0,,,,,,,,0,DiC
SB955,1,S-CL,0,0,,,,,,,,0,DiC
HJ111,-1,H-PE,0,0,,,,,,,,0,DiC
HB23,-1,H-GL,0,0,,,,,,,,0,DiC
HB665,-1,H-F,1,0,1,S-F,1,1,1,1,1,1,PiL
HB668,-1,H-R,0,0,,,,,,,,0,DiC
HB904,-1,H-GL,0,0,,,,,,,,0,DiC
HB1082,-1,H-ACNR,0,0,,,,,,,,0,DiC
HB1213,-1,H-PE,0,0,,,,,,,,0,DiC
HB1270,-1,H-CL,1,0,1,S-CL,1,1,0,1,0,0,V
HB1493,-1,H-CL,0,0,,,,,,,,0,DiC
SJ69,-1,S-PE,0,0,,,,,,,,0,DiC
SB378,-1,S-F,1,0,1,H-F,1,1,1,1,1,1,PiL
SB826,-1,S-PE,0,0,,,,,,,,0,DiC
SB966,-1,S-CL,1,0,1,H-CL,1,1,1,1,0,1,PiL
SB967,-1,S-CL,0,1,,,,,,,,0,Inc
HB474,0,H-CL,0,0,,,,,,,,0,DiC
HB509,0,H-CCT,1,0,1,S-LG,1,1,0,1,0,1,PiL
HB723,0,H-ACNR,0,0,,,,,,,,0,DiC
HB1374,0,H-ACNR,0,0,,,,,,,,0,DiC
HB1558,0,H-CL,1,0,1,S-CL,1,1,1,0,,0,DiS
SB179,0,S-LG,1,0,1,H-CCT,1,1,0,1,0,1,PiL
SB344,0,S-ACNR,1,0,1,H-ACNR,1,1,1,1,0,1,PiL
SB662,0,S-CL,0,0,,,,,,,,0,DiC
